filename, concept, elCounter, elELapsedTimeInMilliseconds, elkCounter, elkELapsedTimeInMilliseconds, hermitCounter, hermitELapsedTimeInMilliseconds
bfo.basic-formal-ontology.2.owl.xml, BFO_0000002, 3,  230,3,  215,  3, 84
bfo.basic-formal-ontology.2.owl.xml, BFO_0000182, 5,  3,5,  17,  5, 18
bfo.basic-formal-ontology.2.owl.xml, BFO_0000026, 7,  2,7,  13,  7, 12
bfo.basic-formal-ontology.2.owl.xml, BFO_0000008, 4,  2,4,  9,  4, 11
bfo.basic-formal-ontology.2.owl.xml, BFO_0000148, 5,  4,5,  7,  5, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000028, 7,  3,7,  8,  7, 16
bfo.basic-formal-ontology.2.owl.xml, BFO_0000004, 4,  2,4,  5,  4, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000017, 5,  3,5,  28,  5, 18
bfo.basic-formal-ontology.2.owl.xml, BFO_0000018, 7,  2,7,  8,  7, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000146, 7,  4,7,  8,  7, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000023, 6,  2,6,  6,  6, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000009, 7,  2,7,  14,  7, 15
bfo.basic-formal-ontology.2.owl.xml, BFO_0000141, 5,  2,5,  8,  5, 15
bfo.basic-formal-ontology.2.owl.xml, BFO_0000011, 4,  14,4,  10,  4, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000147, 7,  2,7,  8,  7, 4
bfo.basic-formal-ontology.2.owl.xml, BFO_0000034, 7,  1,7,  4,  7, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000142, 7,  1,7,  8,  7, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000020, 4,  3,4,  6,  4, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000024, 6,  1,6,  29,  6, 16
bfo.basic-formal-ontology.2.owl.xml, BFO_0000027, 6,  1,6,  13,  6, 11
bfo.basic-formal-ontology.2.owl.xml, BFO_0000019, 5,  8,5,  7,  5, 22
bfo.basic-formal-ontology.2.owl.xml, BFO_0000031, 4,  2,4,  15,  4, 12
bfo.basic-formal-ontology.2.owl.xml, BFO_0000145, 6,  3,6,  14,  6, 13
bfo.basic-formal-ontology.2.owl.xml, BFO_0000040, 5,  7,5,  12,  5, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000029, 6,  3,6,  21,  6, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000016, 6,  4,6,  15,  6, 9
bfo.basic-formal-ontology.2.owl.xml, BFO_0000003, 3,  4,3,  14,  3, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000140, 6,  3,6,  8,  6, 9
bfo.basic-formal-ontology.2.owl.xml, BFO_0000006, 6,  3,6,  10,  6, 9
bfo.basic-formal-ontology.2.owl.xml, BFO_0000144, 5,  4,5,  19,  5, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000001, 2,  2,2,  9,  2, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000030, 6,  4,6,  8,  6, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000035, 4,  4,4,  6,  4, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000038, 5,  5,5,  4,  5, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000015, 4,  4,4,  5,  4, 5
